course_cd,race_date,race_number,chosen_arm,expected_net
TGP,2025-05-01,6,no_bet,0.0
TLS,2025-05-02,8,Pick 4_top1_box,0.0
TLS,2025-05-04,2,Daily Double_top1_box,13.0
TOP,2025-05-02,12,Daily Double_top1_box,0.5600000381469726
TOP,2025-05-02,7,no_bet,0.0
IND,2025-04-29,6,no_bet,0.0
PEN,2025-05-01,6,Pick 3_top1_box,0.0
PEN,2025-05-03,3,Daily Double_top1_box,0.0
TAM,2025-04-30,8,Daily Double_top1_box,0.5600000381469726
TCD,2025-04-29,5,Pick 4_top1_box,0.0
TCD,2025-05-03,8,Daily Double_top1_box,0.0
TCD,2025-04-30,7,Daily Double_top1_box,0.0
TCD,2025-05-03,2,Pick 3_top1_box,0.0
TCD,2025-05-01,8,Pick 4_top1_box,0.0
TCD,2025-05-01,7,Daily Double_top1_box,0.0
TCD,2025-04-30,6,Daily Double_top1_box,0.0
TCD,2025-04-30,5,Daily Double_top1_box,0.0
TLS,2025-05-03,4,Pick 4_top1_box,0.0
TLS,2025-05-03,8,exacta_top2_box,12.800000190734863
TLS,2025-05-03,10,no_bet,0.0
TLS,2025-05-04,4,Pick 3_top1_box,73.4000015258789
TOP,2025-05-02,11,Pick 4_top1_box,0.0
TOP,2025-05-01,2,Pick 3_top1_box,0.0
IND,2025-04-29,5,Pick 4_top1_box,0.0
IND,2025-04-29,1,Daily Double_top1_box,0.0
IND,2025-04-30,6,Pick 4_top1_box,0.0
PEN,2025-05-02,3,Pick 4_top1_box,0.0
PEN,2025-05-02,6,Daily Double_top1_box,9.600000381469727
PEN,2025-05-02,1,Daily Double_top1_box,0.0
PEN,2025-05-01,5,Pick 3_top1_box,0.0
TCD,2025-04-29,1,Daily Double_top1_box,0.0
TCD,2025-04-30,2,Daily Double_top1_box,0.5600000381469726
TCD,2025-05-03,6,Pick 4_top1_box,0.0
TCD,2025-05-02,3,Pick 4_top1_box,0.0
TCD,2025-05-03,13,Daily Double_top1_box,0.0
TCD,2025-05-01,6,Pick 3_top1_box,0.7074085720737456
TCD,2025-05-01,3,Pick 3_top1_box,0.025308883274573146
TCD,2025-05-02,13,no_bet,0.3863433831848345
TCD,2025-05-02,7,Pick 3_top1_box,0.4981047091816806
TGP,2025-05-01,8,Pick 4_top1_box,0.0
TGP,2025-05-01,7,Pick 4_top1_box,0.0
TLS,2025-05-02,4,Pick 3_top1_box,0.0
TLS,2025-05-02,5,Pick 3_top1_box,0.0
TLS,2025-05-04,5,Daily Double_top1_box,0.0
