iter	QueryRMSE
0	2.389490899
5	2.210391114
10	2.0712316
15	1.963534799
20	1.879112138
25	1.81289438
30	1.75957461
35	1.715443231
40	1.677719688
45	1.645599524
50	1.616657508
55	1.591920886
60	1.569282409
65	1.548903634
70	1.5307621
75	1.514723132
80	1.499908509
85	1.486791438
90	1.474529553
95	1.46363716
100	1.453575768
105	1.444415823
110	1.435778336
115	1.428079785
120	1.420729392
125	1.414028749
130	1.407508895
135	1.401546104
140	1.395686017
145	1.390293318
150	1.385229501
155	1.38032765
160	1.3755841
165	1.371078359
170	1.366937731
175	1.362689905
180	1.358679235
185	1.354716916
190	1.351003975
195	1.347470618
200	1.344059069
205	1.340883321
210	1.337772558
215	1.33462528
220	1.33151047
225	1.328465236
230	1.325565286
235	1.322611948
240	1.319861062
245	1.317200199
250	1.314620955
255	1.31214013
260	1.309729196
265	1.307247424
270	1.304856126
275	1.302529963
280	1.300213361
285	1.298141963
290	1.296005419
295	1.293939135
300	1.291844763
305	1.289800151
310	1.287902288
315	1.285974551
320	1.284110687
325	1.282237421
330	1.280366309
335	1.278631471
340	1.276933247
345	1.275212872
350	1.273614285
355	1.272014295
360	1.270362757
365	1.268745061
370	1.267144326
375	1.265622873
380	1.264109545
385	1.262565454
390	1.261163011
395	1.259720959
400	1.258243185
405	1.256914259
410	1.255524821
415	1.254195129
420	1.252938881
425	1.251544568
430	1.250263133
435	1.249104383
440	1.247814492
445	1.246669518
450	1.245304312
455	1.244143579
460	1.24293389
465	1.241814898
470	1.240737063
475	1.239522027
480	1.238430789
485	1.237190493
490	1.236158947
495	1.235159839
499	1.234349049
