iter	Passed	Remaining
401	14213	21142
402	14236	21089
403	14264	21043
404	14306	21017
405	14317	20946
406	14330	20880
407	14349	20821
408	14387	20789
409	14404	20728
410	14410	20651
411	14426	20589
412	14442	20527
413	14458	20465
414	14495	20433
415	14537	20408
416	14576	20379
417	14612	20344
418	14653	20318
419	14691	20288
420	14721	20246
421	14763	20221
422	14802	20191
423	14832	20149
424	14870	20118
425	14900	20076
426	14942	20051
427	14981	20021
428	15028	20002
429	15082	19993
430	15108	19945
431	15165	19939
432	15201	19905
433	15215	19843
434	15256	19815
435	15273	19757
436	15305	19717
437	15319	19656
438	15355	19622
439	15372	19565
440	15412	19536
441	15433	19484
442	15472	19454
443	15511	19423
444	15545	19388
445	15570	19340
446	15607	19308
447	15629	19258
448	15663	19221
449	15684	19169
450	15712	19126
451	15771	19121
452	15812	19093
453	15855	19068
454	15902	19047
455	15946	19023
456	15965	18970
457	15988	18921
458	16017	18879
459	16045	18835
460	16085	18806
461	16121	18773
462	16153	18735
463	16191	18704
464	16205	18644
465	16245	18616
466	16273	18573
467	16316	18547
468	16354	18516
469	16392	18485
470	16415	18436
471	16448	18399
472	16476	18357
473	16528	18341
474	16541	18283
475	16547	18216
476	16580	18179
477	16616	18146
478	16651	18111
479	16701	18093
480	16732	18054
481	16758	18010
482	16802	17985
483	16831	17944
484	16864	17907
485	16900	17874
486	16933	17837
487	16964	17798
488	17001	17766
489	17047	17742
490	17078	17704
491	17113	17670
492	17172	17659
493	17218	17636
494	17271	17620
495	17313	17592
496	17340	17549
497	17377	17516
498	17403	17473
499	17437	17437
500	17463	17393
501	17489	17350
502	17527	17318
503	17568	17289
504	17575	17227
505	17611	17193
506	17648	17161
507	17678	17121
508	17717	17091
509	17749	17053
510	17791	17025
511	17817	16982
512	17846	16942
513	17886	16912
514	17920	16876
515	17967	16853
516	18000	16817
517	18036	16782
518	18059	16737
519	18101	16709
520	18141	16678
521	18170	16639
522	18205	16604
523	18245	16574
524	18282	16541
525	18317	16506
526	18353	16472
527	18413	16460
528	18441	16419
529	18473	16381
530	18533	16369
531	18561	16328
532	18594	16291
533	18635	16262
534	18691	16246
535	18723	16208
536	18744	16161
537	18767	16116
538	18795	16075
539	18842	16050
540	18895	16031
541	18927	15994
542	18940	15941
543	18968	15899
544	18998	15860
545	19043	15834
546	19087	15807
547	19112	15764
548	19175	15752
549	19196	15705
550	19224	15665
551	19236	15611
552	19254	15564
553	19297	15535
554	19322	15492
555	19349	15451
556	19388	15420
557	19423	15385
558	19443	15339
559	19480	15306
560	19517	15272
561	19541	15229
562	19592	15207
563	19628	15173
564	19656	15134
565	19690	15098
566	19728	15066
567	19766	15033
568	19806	15002
569	19844	14970
570	19890	14944
571	19937	14918
572	19979	14888
573	20010	14851
574	20059	14826
575	20102	14797
576	20136	14762
577	20192	14742
578	20220	14702
579	20260	14671
580	20295	14636
581	20341	14609
582	20368	14568
583	20397	14529
584	20436	14497
585	20483	14471
586	20523	14440
587	20549	14398
588	20567	14351
589	20584	14304
590	20617	14268
591	20623	14213
592	20647	14171
593	20694	14145
594	20724	14106
595	20745	14062
596	20786	14031
597	20841	14010
598	20884	13981
599	20915	13943
600	20942	13903
601	20962	13859
602	21005	13829
603	21048	13800
604	21087	13768
605	21122	13733
606	21172	13707
607	21211	13676
608	21251	13644
609	21276	13603
610	21305	13564
611	21331	13523
612	21371	13492
613	21415	13462
614	21463	13436
615	21492	13397
616	21520	13358
617	21555	13323
618	21598	13294
619	21614	13247
620	21634	13203
621	21670	13169
622	21695	13128
623	21737	13098
624	21768	13060
625	21802	13025
626	21830	12987
627	21843	12939
628	21871	12900
629	21899	12861
630	21930	12824
631	21969	12792
632	21995	12752
633	22026	12715
634	22075	12689
635	22106	12651
636	22139	12616
637	22175	12582
638	22204	12544
639	22233	12506
640	22262	12468
641	22303	12436
642	22338	12402
643	22364	12362
644	22388	12322
645	22413	12282
646	22428	12237
647	22469	12205
648	22522	12180
649	22587	12162
650	22639	12136
651	22647	12087
652	22690	12057
653	22717	12018
654	22741	11978
655	22763	11936
656	22768	11886
657	22798	11849
658	22814	11805
659	22849	11771
660	22874	11731
661	22923	11704
662	22966	11673
663	23004	11640
664	23026	11599
665	23047	11558
666	23082	11524
667	23119	11490
668	23132	11445
669	23165	11409
670	23217	11384
671	23251	11348
672	23266	11304
673	23294	11267
674	23323	11230
675	23368	11200
676	23399	11164
677	23450	11137
678	23472	11096
679	23490	11054
680	23525	11020
681	23552	10981
682	23559	10934
683	23586	10896
684	23628	10865
685	23648	10824
686	23697	10796
687	23731	10762
688	23743	10717
689	23765	10677
690	23804	10644
691	23846	10613
692	23867	10573
693	23897	10536
694	23932	10502
695	23962	10466
696	23994	10430
697	24024	10394
698	24039	10351
699	24061	10312
700	24110	10283
701	24152	10252
702	24172	10212
703	24219	10183
704	24259	10150
705	24305	10121
706	24352	10092
707	24396	10061
708	24436	10029
709	24478	9998
710	24486	9952
711	24517	9917
712	24544	9879
713	24606	9856
714	24629	9817
715	24672	9786
716	24708	9752
717	24732	9713
718	24762	9677
719	24776	9635
720	24827	9607
721	24874	9577
722	24918	9547
723	24975	9521
724	25001	9483
725	25035	9448
726	25060	9410
727	25105	9380
728	25142	9346
729	25170	9309
730	25231	9284
731	25265	9250
732	25281	9208
733	25327	9178
734	25368	9146
735	25382	9104
736	25420	9071
737	25446	9033
738	25472	8996
739	25486	8954
740	25500	8913
741	25517	8872
742	25565	8842
743	25612	8813
744	25656	8781
745	25662	8737
746	25683	8698
747	25725	8666
748	25759	8632
749	25809	8603
750	25832	8564
751	25858	8527
752	25896	8494
753	25921	8456
754	25953	8422
755	25995	8390
756	26053	8363
757	26072	8324
758	26115	8292
759	26168	8263
760	26185	8223
761	26217	8188
762	26258	8156
763	26280	8118
764	26324	8086
765	26349	8049
766	26381	8014
767	26406	7976
768	26433	7940
769	26466	7905
770	26515	7875
771	26554	7842
772	26586	7807
773	26600	7766
774	26633	7732
775	26680	7701
776	26686	7659
777	26712	7622
778	26744	7587
779	26783	7554
780	26819	7520
781	26864	7489
782	26885	7451
783	26933	7420
784	26964	7385
785	27002	7351
786	27040	7318
787	27080	7285
788	27110	7250
789	27155	7218
790	27203	7187
791	27236	7152
792	27263	7116
793	27298	7082
794	27341	7050
795	27359	7011
796	27386	6975
797	27416	6939
798	27464	6909
799	27481	6870
800	27521	6837
801	27534	6797
802	27558	6761
803	27596	6727
804	27630	6693
805	27670	6660
806	27697	6624
807	27743	6592
808	27770	6556
809	27795	6519
810	27828	6485
811	27862	6450
812	27879	6412
813	27903	6375
814	27916	6336
815	27950	6302
816	27982	6267
817	28041	6239
818	28093	6208
819	28123	6173
820	28147	6136
821	28189	6104
822	28219	6069
823	28257	6035
824	28290	6000
825	28334	5968
826	28381	5937
827	28411	5901
828	28446	5867
829	28482	5833
830	28520	5800
831	28559	5766
832	28589	5731
833	28632	5699
834	28639	5659
835	28672	5624
836	28704	5590
837	28734	5554
838	28784	5523
839	28817	5489
840	28857	5455
841	28886	5420
842	28926	5387
843	28944	5350
844	28982	5316
845	29006	5280
846	29028	5243
847	29073	5211
848	29118	5178
849	29133	5141
850	29150	5103
851	29196	5071
852	29212	5034
853	29235	4998
854	29267	4963
855	29282	4926
856	29325	4893
857	29363	4859
858	29369	4820
859	29406	4787
860	29446	4753
861	29497	4722
862	29560	4692
863	29577	4655
864	29618	4622
865	29651	4588
866	29679	4552
867	29691	4515
868	29762	4486
869	29801	4453
870	29827	4417
871	29842	4380
872	29881	4347
873	29916	4312
874	29948	4278
875	29993	4245
876	30007	4208
877	30034	4173
878	30066	4138
879	30110	4106
880	30148	4072
881	30170	4036
882	30186	3999
883	30215	3964
884	30250	3930
885	30275	3895
886	30318	3862
887	30356	3828
888	30388	3794
889	30430	3761
890	30458	3726
891	30491	3691
892	30540	3659
893	30588	3626
894	30628	3593
895	30652	3557
896	30685	3523
897	30725	3489
898	30782	3458
899	30819	3424
900	30846	3389
901	30894	3356
902	30945	3324
903	30957	3287
904	30983	3252
905	31017	3218
906	31049	3183
907	31082	3149
908	31132	3116
909	31159	3081
910	31190	3047
911	31216	3012
912	31245	2977
913	31281	2943
914	31337	2911
915	31356	2875
916	31384	2840
917	31389	2803
918	31424	2769
919	31456	2735
920	31493	2701
921	31538	2668
922	31566	2633
923	31598	2599
924	31633	2564
925	31666	2530
926	31691	2495
927	31721	2461
928	31744	2426
929	31787	2392
930	31831	2359
931	31884	2326
932	31927	2292
933	31979	2259
934	32021	2226
935	32046	2191
936	32076	2156
937	32089	2121
938	32104	2085
939	32138	2051
940	32170	2017
941	32199	1982
942	32246	1949
943	32285	1915
944	32309	1880
945	32335	1845
946	32349	1810
947	32407	1777
948	32441	1743
949	32459	1708
950	32492	1674
951	32525	1639
952	32540	1604
953	32585	1571
954	32632	1537
955	32648	1502
956	32698	1469
957	32718	1434
958	32748	1400
959	32786	1366
960	32807	1331
961	32834	1296
962	32864	1262
963	32897	1228
964	32929	1194
965	32959	1160
966	33019	1126
967	33061	1092
968	33091	1058
969	33136	1024
970	33156	990
971	33188	956
972	33228	922
973	33261	887
974	33302	853
975	33363	820
976	33411	786
977	33429	752
978	33457	717
979	33472	683
980	33504	648
981	33531	614
982	33562	580
